Tahun;Provinsi;IHK Umum (Indeks Harga Konsumen Umum);Inflasi YoY Umum (%);Inflasi Makanan YoY (%);Harga Beras (Rp/Kg) (Harga Ritel);Harga Beras (Rp/Kg) (Harga Petani);Harga Cabai (Rp/Kg) (Harga Ritel);Harga Cabai (Rp/Kg) (Harga Petani);Harga Bawang (Rp/Kg) (Harga Ritel);Harga Bawang (Rp/Kg) (Harga Petani);Produksi Padi (Ton);Luas Panen Padi (Ha);Produksi Cabai (Ton);Luas Panen cabai (Ha);Produksi Bawang (Ton);Luas Panen Bawang (Ha);Suhu (Celcius);Total Curah Hujan (mm);Rata-Rata Hari Hujan;PDRB Pertanian Miliar (Rp);PDRB Pengolahan Makanan Miliar (Rp);PDRB Perdagangan Miliar (Rp);Akses Internet Penduduk (%);Panjang Jalan Km;Jumlah Koperasi Pertanian
2010;Aceh;100;6;6.8;7450;5960;24500;19600;18600;14880;1582385;378205;9152;725;985;785;27.3;2147;190;3245;8.75;12.85;12.4;1785;125
2010;Sumatera Utara;100;6.96;7.20;6500;4500;25000;12000;20000;18000;3245800;654000;185600;45200;89200;18500;27.2;2450;180;45.2;28.5;67.3;18.5;2845;185
2010;Sumatera Barat;100;6.96;9.8;7000;5600;18000;14400;12000;9600;1200000;270000;15000;2500;8000;1200;28;32;220;15.5 ;8.3 ;12.8 ;15;17500;115
2010;Riau;100;6.96;8.2;16546;8800;25501;15938;19840;11671;185000;45000;3120;780;72;14;27.7;2511;255;87.5;4.38;5.26;15.3;2685;210
2010;Kepulauan Riau;77.54;2.95;3.25;16546;8800;26474;16546;19840;11671;111;266;1445;111;1226;266;27.7;2698;14;18.9;33.6;15.22;12;2850;45
2010;Jambi;100;5.13;6.2;6000;4800;18500;14800;15000;12000;300000;70000;65000;12500;3800;950;26.1;2474;200;245;20;8;12.5;9850;500
2010;Bengkulu;100;0;0;8500;6500;35000;25000;18000;14000;350000;82000;15000;3500;800;189;26.5;3174;180;8.5;25;42;45;3200;450
2010;Sumatera Selatan;100;6.96;7.5;7500;6000;22000;16500;15000;12000;2095020;748000;28500;3800;85;12;32.5;2400;180;20.8;18.3;32.5;15;28000;1850
2010;Lampung;85.3;6.3;8.2;7500;5200;28500;21800;18500;14200;2320000;481500;4850;1585;1285;320;26.7;2754;120;48.5;18.5;25.6;8.5;12580;385
2010;Kepulauan Bangka Belitung;100;0;0;9133;7763;12500;10625;12821;10898;48343;15107;1381;187;930;131;26.4;2393;184;4.45;1.74;2.38;45.2;1235;673
2011;Aceh;105.38;5;5.8;7840;6270;27800;22240;19750;15800;1613260;381465;9568;758;10254;812;27.2;2147;190;3468;9.18;13.78;14.8;1825;134
2011;Sumatera Utara;103.79;3.79;4.15;7200;5000;28000;13500;20000;18000;3398200;668500;192800;46800;92800;19200;27.4;2380;175;46.8;30.2;71.2;22.3;2912;192
2011;Sumatera Barat;104;3.79;5.4;7280;5824;19800;15840;12456;9965;1210000;272000;15500;2567;8267;1240;28;32;220;16.2 ;8.8 ;13.6 ;18;18000;115
2011;Riau;103.8;3.79;4.5;15938;9150;25521;15951;26825;15779;188000;45800;3350;820;76;15;27.6;2511;255;95.3;4.82;5.79;19.8;2724;218
2011;Kepulauan Riau;80.4;3.23;3.57;15938;9150;25501;15938;28091;16524;1006;237;1506;100;1059;237;27.6;2422.9;12.8;19.6;35.6;16.46;15;2901;46
2011;Jambi;105.4;5.36;7.3;6500;5200;20000;16000;16500;13200;310500;70500;68500;12800;4000;975;26.2;2530;205;262;21.67;8.46;15.8;10050;520
2011;Bengkulu;103.29;3.29;3.95;9932;7595;40300;28786;19965;15528;367900;77700;12845;4631;6387;1955;26.5;3174;191;10.09;25.49;46.51;45;3225;494
2011;Sumatera Selatan;103.8;3.79;6.8;7850;6300;23500;17600;15800;12650;2166870;784820;29800;3950;92;13;32.5;2400;180;21.5;19.1;34.2;18;28150;1900
2011;Lampung;89.7;5.2;6.8;8000;5600;30200;23500;20200;15800;2350000;485000;5020;1602;1312;340;26.7;2780;118;52.3;20.2;28.2;10.2;12750;402
2011;Kepulauan Bangka Belitung;103.8;3.8;4.2;9451;8033;21366;18161;26513;22536;4810;1457;720;188;877;116;26.4;2472;202;4.13;2.36;2.7;48.7;1250;698
2012;Aceh;109.86;4;4.7;8250;6600;25900;20720;21300;17040;1685412;387350;9853;782;1058;834;27.1;2147;190;3652;9.65;14.85;17.5;187;142
2012;Sumatera Utara;108.25;4.30;4.50;7800;5400;31000;15000;22000;20000;3512600;681200;199200;48200;96100;19800;27.3;2520;185;48.1;32.1;75.4;26.8;2978;198
2012;Sumatera Barat;109;4.30;5.9;7588;6070;21384;17107;12991;10393;1220000;274000;16000;2634;8533;1280;28;32;220;17;9.4 ;14.5 ;19;18500;116
2012;Riau;108.3;4.30;5.1;15951;9450;26474;16546;27097;15939;190500;46500;3580;860;81;15;27.5;2511;255;10.38;5.3;6.37;24.5;2768;227
2012;Kepulauan Riau;82.94;3.62;3.51;15951;9450;25521;15951;26825;15779;1068;248;1529;106;1112;248;27.5;2034.5;9.8;20.2;37.4;17.60;18.8;2953;47
2012;Jambi;110;4.30;5.9;7000;5600;22000;17600;18000;14400;321000;71000;72000;13100;4200;1000;26.1;2485;198;279;23.33;8.93;19.3;10280;540
2012;Bengkulu;107.91;4.47;5.36;10471;8007;55436;39597;21378;16627;341900;79100;14623;4912;6699;1983;26.5;3174;197;10.38;24.12;44;45;3250;500
2012;Sumatera Selatan;107.2;4.30;7.6;8250;6600;24200;18150;16500;13200;2112050;820678;31200;4100;100;14;32.5;2400;180;22.3;20;35.9;22;28300;1950
2012;Lampung;93.5;4.2;5.5;8500;6000;32400;25300;22800;17500;2410000;488800;5280;1162;1345;365;26.8;2750;122;56.8;22.8;31.5;12.8;12980;425
2012;Kepulauan Bangka Belitung;108.26;4.3;5.1;10051;8543;41992;35693;20902;17767;52655;15487;982;181;1081;120;26.4;2394;193;4.34;1.7;36;52.3;1265;723
2013;Aceh;115.90;5;5.8;8750;7000;28600;22880;23800;19040;1710560;390760;25600;8140;1096;858;27.6;2147;190;3875;10.25;16.12;21.2;1915;151
2013;Sumatera Utara;117.32;8.38;8.80;8500;5900;35000;17000;25000;23000;3621400;695800;206500;50100;99800;20600;27.5;2410;172;49.6;34;79.8;31.2;3044;204
2013;Sumatera Barat;118;8.38;11.3;8224;6579;25491;20393;14088;1127;1230000;276000;16500;2701;8800;1320;28;32;220;18.4 ;10.6 ;16.1 ;20;19000;116
2013;Riau;117.4;8.38;9.4;17847;9750;28555;17847;27246;16027;192800;47300;3820;900;85;16;27.7;2511;255;11.24;5.83;7.01;30.2;2815;236
2013;Kepulauan Riau;85.81;3.46;3.23;17847;9750;28555;17847;28607;16828;1056;251;1562;105;1059;251;27.7;2200.5;13.2;20.5;38.6;18.55;23.4;3006;47
2013;Jambi;117.7;6.97;8.1;7500;6000;25000;20000;20000;16000;335000;71500;75500;13400;4400;1025;26.3;2520;203;297;25.00;9.4;23.7;10520;560
2013;Bengkulu;114.15;5.78;6.94;11940;9130;54125;38660;22122;17206;300400;81400;12164;5432;6456;1853;26.5;3174;168;10.98;25.57;41.33;45;3275;581
2013;Sumatera Selatan;115.1;8.38;11.2;8700;6950;24800;18600;17200;13750;2263580;856536;32600;4250;108;15;32.5;2400;180;23.1;20.9;37.7;27;28400;2000
2013;Lampung;98.4;5.2;7.3;9200;6500;35800;28200;25500;19800;2430000;490500;5550;1638;1378;390;26.8;2770;121;61.5;25.5;35.2;15.5;13250;448
2013;Kepulauan Bangka Belitung;117.36;8.4;9.2;8830;7506;16061;13652;25064;21304;55274;15793;723;197;672;126;26.4;2420;200;4.51;2.34;3.33;56.1;1280;748
2014;Aceh;122.99;6;6.6;9280;7425;31250;25000;25650;20520;1725245;392105;75000;8520;1234;965;27.8;2147;190;4085;10.95;17.45;25.4;196;160
2014;Sumatera Utara;127.13;8.36;8.75;9200;6400;38000;19000;28000;27000;3689700;708400;213200;51600;103200;21200;27.6;2480;178;51.2;35.8;84.1;35.7;311;21
2014;Sumatera Barat;128;8.36;12.2;8911;7129;29633;23706;15266;12213;1240000;278000;17000;2768;9067;1360;28;32;220;19.9 ;11.9 ;17.9 ;20;19500;117
2014;Riau;127.2;8.36;10.1;19743;10100;31589;19743;28091;16524;195100;48100;4050;940;90;17;27.7;2511;255;12.27;6.41;7.71;36.8;2873;245
2014;Kepulauan Riau;88.91;3.62;3.73;19743;10100;31589;19743;32094;18878;1040;249;1488;104;1082;249;27.7;2557.2;13.8;20.6;39.7;19.41;29.3;3060;48
2014;Jambi;125.2;6.40;7.8;8000;6400;28000;22400;22000;17600;348500;72000;79000;13700;4600;1050;26.4;2495;195;316;26.67;9.86;28.4;10750;580
2014;Bengkulu;117.75;3.15;3.78;13002;9942;49703;35502;18974;14757;350500;78600;12728;5928;5996;1779;26.5;3174;194;11.4;25.07;44.92;45;3300;614
2014;Sumatera Selatan;121.5;8.36;6.7;9000;7200;24500;18400;17800;14250;2349810;892394;34100;4400;118;16;32.5;2400;180;23.8;21.8;38;32;28450;2100
2014;Lampung;127.2;8.4;7.9;14801;12581;28960;24616;19298;16403;2460000;153500;1154;1204;1997;138;26.4;2533;191;42.9;28.9;33.7;60.4;1295;773
2014;Kepulauan Bangka Belitung;127.22;8.4;7.9;14801;12581;28960;24616;19298;16403;55289;1535;1154;204;998;138;26.4;2533;191;4.9;2.89;3.37;60.4;1295;773
2015;Aceh;130.15;4.5;5.2;9850;7880;33400;26720;27200;21760;1752680;395650;25400;8920;1285;1002;27.9;2147;190;4297;11.58;18.78;28.7;2005;168
2015;Sumatera Utara;131.39;3.35;3.60;9800;6800;42000;20500;30000;30000;3756300;721600;219800;53200;106800;21900;27.4;2350;170;52.8;37.2;87.9;40.1;3176;216
2015;Sumatera Barat;133;3.35;6.4;9210;7368;30625;24500;15777;12622;1250000;280000;17500;2835;9333;1400;28;32;220;20.6 ;12.5 ;18.6 ;25;20000;118
2015;Riau;131.5;3.35;4.2;19962;10450;31939;19945;28607;16828;197400;49000;4280;980;95;18;27.6;2511;255;13.37;7.05;8.48;45;2938;254
2015;Kepulauan Riau;92.5;3.53;3.63;19962;10450;31939;19962;27097;15939;1061;251;1545;106;1159;251;27.6;2434.3;11.8;20.9;41;20.45;36.6;3115;49
2015;Jambi;133.2;6.38;7.9;8500;6800;30000;24000;24000;19200;360000;72500;83000;14000;4800;1075;26.5;2510;201;336;28.33;10.33;33.6;10980;600
2015;Bengkulu;121.46;3.15;3.78;13111;10025;48691;34779;19105;14859;349600;80000;91780;16326;6496;1881;26.5;3174;186;11.05;27.28;48.01;45;3325;603
2015;Sumatera Selatan;124.4;3.35;4.8;9200;7350;25000;18750;18000;14400;2719520;928252;35600;4560;128;18;32.5;2400;180;18.5;22.8;38.5;38;28500;2200
2015;Lampung;105.8;3.1;4.5;10400;7400;42000;33800;30500;23800;2500000;495000;6150;1678;1432;435;27;2765;119;71.5;31.5;44.5;23.5;13780;495
2015;Kepulauan Bangka Belitung;131.54;3.4;4.1;13211;11229;52001;44201;15457;13138;59484;16077;1092;196;1231;132;26.4;2485;205;6.3;2.5;3.3;64.8;1310;798
2016;Aceh;134.71;3.5;4;10350;8280;36700;29360;29450;23560;1787540;400380;68500;9250;13258;1032;27.3;2147;194;4538;12.35;20.15;31.5;205;177
2016;Sumatera Utara;135.36;32;3.25;10200;7100;45000;22000;32000;32000;3823100;734800;226500;54800;110200;22600;27.7;2420;176;54.1;38.9;91.8;44.6;3242;222
2016;Sumatera Barat;137;3.2;4.8;9488;7590;31550;25240;16254;13003;1260000;282000;18000;2902;9600;1440;28;32;220;21.3 ;13.2 ;19.4 ;30;20500;118
2016;Riau;136.1;3.50;4.8;20282;10850;32451;20282;31060;18270;199200;50100;4520;1020;101;18;27.7;2511;255;14.58;7.76;9.33;50;3005;264
2016;Kepulauan Riau;95.2;3.42;3.8;20282;10850;32451;20282;27246;16027;1048;246;1640;104;1257;246;27.6;2255.1;11.2;21.5;43;21.86;42.1;3172;50
2016;Jambi;136.9;3.53;4.6;9000;7200;32000;25600;26000;20800;374000;73000;87000;14300;5000;1100;26.6;2450;194;357;30;10.8;38.9;11250;620
2016;Bengkulu;128.58;5.86;7.3;14277;10916;61501;43929;19460;15135;358900;81100;74870;16261;7365;1804;26.5;3174;192;12.26;27.03;51.13;53;3350;586
2016;Sumatera Selatan;127.8;3.2;2.9;9450;7550;27500;20600;19500;15600;3248770;964110;37200;4720;140;19;32.5;2350;175;19.2;23.9;39.6;46;28650;2300
2016;Lampung;108.2;2.3;3.7;10900;7800;45500;36800;32800;25500;2530000;498600;6480;1702;1458;455;27;2740;117;76.8;34.8;49.8;28.2;14050;518
2016;Kepulauan Bangka Belitung;135.49;3;2.8;17826;15152;38062;32353;24499;20824;61670;16229;919;208;792;136;26.4;2463;195;5.86;2.17;3.18;69.2;1325;823
2017;Aceh;138.75;3;3.6;10840;8670;35200;28160;31800;25440;1825473;404626;28600;9560;13625;1058;27.2;2147;194;4785;13.15;21.65;33.8;2084;186
2017;Sumatera Utara;140.25;3.61;3.85;10800;7500;48000;24000;35000;34000;3891500;748200;233400;56500;113900;23400;27.5;2390;174;55.7;40.8;96.2;49.2;3308;228
2017;Sumatera Barat;142;3.61;4.2;9831;7865;32689;26151;16841;13473;1270000;283000;18500;2969;9867;1480;28;32;220;22.1 ;14;20.4 ;35;21000;119
2017;Riau;141.3;3.80;5.2;21250;11250;31912;21730;32094;18878;198500;51200;4751;1060;107;19;27.7;2511;255;15.89;8.53;10.26;55;3078;275
2017;Kepulauan Riau;98.52;3.48;3.76;21250;11250;31912;19945;31060;18270;1093;252;1594;254;1156;252;27.7;2705.6;13.2;22.4;45.7;23.65;48.4;3229;51
2017;Jambi;142.1;3.81;5.3;9250;7400;35000;28000;28000;22400;390000;73500;91500;14600;5250;1125;26.7;2480;197;378;31.67;11.26;44.2;11550;640
2017;Bengkulu;134.56;4.65;5.58;16890;12914;70465;50332;18480;14373;315020;77290;78200;16735;8262;1849;26.5;3174;207;13.30;31.45;54.85;56;3375;615
2017;Sumatera Selatan;131.2;3.61;3.8;9700;7750;29000;21750;20800;16650;3164550;999972;38900;4890;152;21;32.5;2380;178;20.1;25.1;40.8;55;28800;2400
2017;Lampung;110.5;2.1;3.3;11500;8300;48700;39500;35200;27800;2550000;500200;6820;1728;1485;480;27.1;2754;120;82.5;38.5;55.5;33.5;14320;542
